t,theta,w,torque
0,0,-20,3
0.01,-0.199348,-19.8693,3
0.02,-0.397382,-19.7374,3
0.03,-0.594091,-19.6043,3
0.04,-0.789465,-19.4702,3
0.05,-0.983494,-19.3355,3
0.06,-1.17617,-19.2003,3
0.07,-1.3675,-19.0651,3
0.08,-1.55748,-18.9302,3
0.09,-1.74611,-18.7959,3
0.1,-1.9334,-18.6627,3
0.11,-2.11936,-18.5307,3
0.12,-2.30402,-18.4004,3
0.13,-2.48738,-18.2719,3
0.14,-2.66946,-18.1456,3
0.15,-2.8503,-18.0214,3
0.16,-3.0299,-17.8996,3
0.17,-3.2083,-17.7802,3
0.18,-3.38551,-17.6631,3
0.19,-3.56157,-17.5484,3
0.2,-3.73649,-17.4358,3
0.21,-3.91029,-17.3251,3
0.22,-4.08299,-17.2163,3
0.23,-4.25462,-17.1091,3
0.24,-4.42518,-17.0031,3
0.25,-4.59469,-16.8981,3
0.26,-4.76314,-16.7939,3
0.27,-4.93056,-16.6901,3
0.28,-5.09695,-16.5864,3
0.29,-5.26229,-16.4827,3
0.3,-5.4266,-16.3786,3
0.31,-5.58986,-16.2739,3
0.32,-5.75207,-16.1686,3
0.33,-5.91323,-16.0623,3
0.34,-6.07332,-15.9551,3
0.35,-6.23233,-15.8469,3
0.36,-6.39025,-15.7377,3
0.37,-6.54708,-15.6274,3
0.38,-6.7028,-15.5162,3
0.39,-6.8574,-15.4042,3
0.4,-7.01088,-15.2914,3
0.41,-7.16323,-15.178,3
0.42,-7.31444,-15.0642,3
0.43,-7.46451,-14.9503,3
0.44,-7.61344,-14.8363,3
0.45,-7.76124,-14.7225,3
0.46,-7.90789,-14.6092,3
0.47,-8.05342,-14.4965,3
0.48,-8.19783,-14.3847,3
0.49,-8.34112,-14.2739,3
0.5,-8.48331,-14.1644,3
0.51,-8.62441,-14.0562,3
0.52,-8.76444,-13.9495,3
0.53,-8.90341,-13.8444,3
0.54,-9.04133,-13.7411,3
0.55,-9.17824,-13.6396,3
0.56,-9.31413,-13.5398,3
0.57,-9.44904,-13.442,3
0.58,-9.58298,-13.3459,3
0.59,-9.71596,-13.2516,3
0.6,-9.84802,-13.1591,3
0.61,-9.97915,-13.0682,3
0.62,-10.1094,-12.9789,3
0.63,-10.2387,-12.891,3
0.64,-10.3672,-12.8045,3
0.65,-10.4948,-12.7191,3
0.66,-10.6216,-12.6348,3
0.67,-10.7475,-12.5514,3
0.68,-10.8726,-12.4686,3
0.69,-10.9969,-12.3865,3
0.7,-11.1204,-12.3047,3
0.71,-11.243,-12.2232,3
0.72,-11.3648,-12.1418,3
0.73,-11.4858,-12.0604,3
0.74,-11.606,-11.9788,3
0.75,-11.7254,-11.897,3
0.76,-11.844,-11.8147,3
0.77,-11.9617,-11.732,3
0.78,-12.0786,-11.6488,3
0.79,-12.1947,-11.5649,3
0.8,-12.3099,-11.4804,3
